Date,Open,High,Low,Close,Adj Close,Volume
2019-08-11,2918.750000,2926.500000,2914.500000,2916.500000,2916.500000,902330
2019-08-12,2918.750000,2931.000000,2872.500000,2880.250000,2880.250000,1710875
2019-08-13,2882.250000,2944.250000,2866.750000,2932.000000,2932.000000,2184012
2019-08-14,2931.000000,2936.500000,2835.750000,2840.750000,2840.750000,2786308
2019-08-15,2836.000000,2871.750000,2817.750000,2848.500000,2848.500000,2495340
2019-08-16,2851.000000,2894.750000,2849.500000,2891.500000,2891.500000,1631175
2019-08-18,2893.000000,2907.750000,2892.500000,2903.750000,2903.750000,1808239
2019-08-19,2893.000000,2932.250000,2892.500000,2923.750000,2923.750000,1285798
2019-08-20,2921.250000,2932.250000,2894.250000,2898.250000,2898.250000,1475214
2019-08-21,2893.250000,2932.500000,2893.000000,2929.250000,2929.250000,1180368
2019-08-22,2931.250000,2939.750000,2904.250000,2922.250000,2922.250000,1470309
2019-08-23,2920.250000,2936.750000,2834.000000,2855.500000,2855.500000,2864662
2019-08-25,2831.000000,2831.250000,2810.250000,2824.250000,2824.250000,6057749
2019-08-26,2831.000000,2888.500000,2810.250000,2883.250000,2883.250000,1850231
2019-08-27,2882.750000,2899.500000,2860.000000,2865.500000,2865.500000,1528362
2019-08-28,2866.250000,2890.500000,2851.750000,2889.750000,2889.750000,1489617
2019-08-29,2883.250000,2930.750000,2875.250000,2926.750000,2926.750000,1489670
2019-08-30,2923.250000,2946.500000,2913.250000,2924.750000,2924.750000,1642516
2019-09-01,2901.000000,2910.000000,2895.250000,2909.750000,2909.750000,2099663
2019-09-03,2901.000000,2926.500000,2889.000000,2906.000000,2906.000000,1999829
2019-09-04,2903.000000,2939.500000,2902.000000,2938.500000,2938.500000,1252834
2019-09-05,2938.000000,2986.500000,2936.500000,2972.000000,2972.000000,1669999
2019-09-06,2970.750000,2988.250000,2970.250000,2980.750000,2980.750000,1182287
2019-09-08,2980.250000,2985.500000,2980.000000,2982.000000,2982.000000,703090
2019-09-09,2980.250000,2991.500000,2969.500000,2978.250000,2978.250000,1199935
2019-09-10,2979.250000,2985.000000,2957.250000,2978.500000,2978.500000,1493346
2019-09-11,2979.000000,3004.250000,2972.000000,3002.000000,3002.000000,1423833
2019-09-12,3003.000000,3021.750000,3001.000000,3011.750000,3011.750000,1745651
2019-09-13,3010.000000,3023.750000,3003.500000,3006.500000,3006.500000,1275710
2019-09-15,2993.500000,2997.500000,2985.250000,2989.000000,2989.000000,2233154
2019-09-16,2993.500000,3003.250000,2981.250000,2999.000000,2999.000000,1197095
2019-09-17,3001.750000,3006.500000,2991.500000,3005.500000,3005.500000,1096388
2019-09-18,3006.000000,3011.000000,2978.500000,3006.250000,3006.250000,637344
2019-09-19,3008.000000,3022.250000,2988.750000,3006.000000,3006.000000,372849
2019-09-20,3005.500000,3015.500000,3001.750000,3013.610107,3013.610107,1476593
2019-09-22,2995.750000,3008.250000,2995.750000,3002.750000,3002.750000,2239870
2019-09-23,2995.750000,3008.250000,2982.000000,2997.000000,2997.000000,1044218
2019-09-24,3001.000000,3012.250000,2958.500000,2970.250000,2970.250000,1936806
2019-09-25,2971.000000,2991.750000,2953.750000,2986.250000,2986.250000,1501723
2019-09-26,2985.750000,2995.000000,2964.250000,2980.500000,2980.500000,1351351
2019-09-27,2979.750000,2993.000000,2946.250000,2963.750000,2963.750000,1673557
2019-09-29,2976.000000,2980.250000,2965.500000,2970.500000,2970.500000,1628438
2019-09-30,2976.000000,2986.250000,2964.500000,2978.500000,2978.500000,1155807
2019-10-01,2984.000000,2994.500000,2937.000000,2937.750000,2937.750000,1601531
2019-10-02,2942.250000,2949.000000,2874.000000,2880.500000,2880.500000,2126769
2019-10-03,2883.750000,2912.500000,2855.000000,2911.750000,2911.750000,2037970
2019-10-04,2911.500000,2953.250000,2896.750000,2951.000000,2951.000000,1497975
2019-10-06,2929.750000,2942.750000,2928.000000,2941.750000,2941.750000,1947134
2019-10-07,2929.750000,2959.500000,2928.000000,2937.500000,2937.500000,1266872
2019-10-08,2934.500000,2950.000000,2890.500000,2892.500000,2892.500000,1865325
2019-10-09,2893.500000,2934.250000,2888.250000,2919.000000,2919.000000,1305749
2019-10-10,2920.500000,2954.000000,2881.750000,2941.000000,2941.000000,1577766
2019-10-11,2949.000000,2994.000000,2941.750000,2970.750000,2970.750000,1743810
2019-10-13,2968.000000,2981.750000,2967.500000,2979.500000,2979.500000,1268636
2019-10-14,2968.000000,2982.500000,2953.750000,2965.500000,2965.500000,833670
2019-10-15,2966.750000,3003.250000,2966.500000,2997.750000,2997.750000,1181207
2019-10-16,2996.500000,2997.750000,2984.750000,2991.500000,2991.500000,1148118
2019-10-17,2992.250000,3008.000000,2985.250000,2998.000000,2998.000000,1121748
2019-10-18,2997.750000,3001.250000,2975.000000,2988.250000,2988.250000,1335276
2019-10-20,2984.750000,2991.000000,2983.750000,2990.250000,2990.250000,1093450
2019-10-21,2984.750000,3007.500000,2983.750000,3006.500000,3006.500000,886557
2019-10-22,3006.500000,3014.250000,2988.250000,2994.500000,2994.500000,1125601
2019-10-23,2992.000000,3006.000000,2982.000000,3005.750000,3005.750000,1055958
2019-10-24,3006.000000,3015.250000,2998.750000,3004.250000,3004.250000,1061278
2019-10-25,3003.750000,3026.500000,3000.000000,3020.250000,3020.250000,1098391
2019-10-27,3023.000000,3026.000000,3022.750000,3024.250000,3024.250000,855745
2019-10-28,3023.000000,3042.750000,3022.750000,3036.250000,3036.250000,1041931
2019-10-29,3038.250000,3046.250000,3029.500000,3035.750000,3035.750000,1040149
2019-10-30,3036.500000,3055.000000,3023.250000,3047.750000,3047.750000,1179153
2019-10-31,3051.750000,3052.000000,3020.250000,3035.750000,3035.750000,1766536
2019-11-01,3036.000000,3065.000000,3033.000000,3063.250000,3063.250000,1279508
2019-11-03,3064.750000,3069.000000,3064.750000,3068.500000,3068.500000,344425
2019-11-04,3064.750000,3083.750000,3064.750000,3075.750000,3075.750000,1179714
2019-11-05,3076.750000,3085.750000,3069.750000,3072.000000,3072.000000,1124217
2019-11-06,3071.500000,3078.000000,3063.000000,3075.500000,3075.500000,1076833
